i	Addr	Addr	Data	Data
 702	00000af8	2808	00120213	1180179
 703	00000afc	2812	00200293	2097811
 704	00000b00	2816	fe5210e3	4266791139
 705	00000b04	2820	0f001eb7	251666103
 706	00000b08	2824	f00e8e93	4027485843
 707	00000b0c	2828	04c00193	79692179
 708	00000b10	2832	01df0463	31392867
 709	00000b14	2836	7b80106f	2071990383
 710	00000b18	2840	00000213	 531
 711	00000b1c	2844	0ff010b7	267391159
 712	00000b20	2848	ff008093	4278222995
 713	00000b24	2852	00000013	  19
 714	00000b28	2856	f0f0f137	4042322231
 715	00000b2c	2860	0f010113	251724051
 716	00000b30	2864	00000013	  19
 717	00000b34	2868	0020ff33	2162483
 718	00000b38	2872	00120213	1180179
 719	00000b3c	2876	00200293	2097811
 720	00000b40	2880	fc521ee3	4233240291
 721	00000b44	2884	00f00eb7	15732407
 722	00000b48	2888	0f0e8e93	252612243
 723	00000b4c	2892	04d00193	80740755
 724	00000b50	2896	01df0463	31392867
 725	00000b54	2900	7780106f	2004881519
 726	00000b58	2904	00000213	 531
 727	00000b5c	2908	00ff00b7	16711863
 728	00000b60	2912	0ff08093	267419795
 729	00000b64	2916	00000013	  19
 730	00000b68	2920	00000013	  19
 731	00000b6c	2924	0f0f1137	252645687
 732	00000b70	2928	f0f10113	4042326291
 733	00000b74	2932	0020ff33	2162483
 734	00000b78	2936	00120213	1180179
 735	00000b7c	2940	00200293	2097811
 736	00000b80	2944	fc521ee3	4233240291
 737	00000b84	2948	000f0eb7	986807
 738	00000b88	2952	00fe8e93	16682643
 739	00000b8c	2956	04e00193	81789331
 740	00000b90	2960	01df0463	31392867
 741	00000b94	2964	7380106f	1937772655
 742	00000b98	2968	00000213	 531
 743	00000b9c	2972	0f0f1137	252645687
 744	00000ba0	2976	f0f10113	4042326291
 745	00000ba4	2980	ff0100b7	4278255799
 746	00000ba8	2984	f0008093	4026564755
 747	00000bac	2988	0020ff33	2162483
 748	00000bb0	2992	00120213	1180179
 749	00000bb4	2996	00200293	2097811
 750	00000bb8	3000	fe5212e3	4266791651
 751	00000bbc	3004	0f001eb7	251666103
 752	00000bc0	3008	f00e8e93	4027485843
 753	00000bc4	3012	04f00193	82837907
 754	00000bc8	3016	01df0463	31392867
 755	00000bcc	3020	7000106f	1879052399
 756	00000bd0	3024	00000213	 531
 757	00000bd4	3028	f0f0f137	4042322231
 758	00000bd8	3032	0f010113	251724051
 759	00000bdc	3036	0ff010b7	267391159
 760	00000be0	3040	ff008093	4278222995
 761	00000be4	3044	00000013	  19
 762	00000be8	3048	0020ff33	2162483
 763	00000bec	3052	00120213	1180179
 764	00000bf0	3056	00200293	2097811
 765	00000bf4	3060	fe5210e3	4266791139
 766	00000bf8	3064	00f00eb7	15732407
 767	00000bfc	3068	0f0e8e93	252612243
 768	00000c00	3072	05000193	83886483
 769	00000c04	3076	01df0463	31392867
 770	00000c08	3080	6c40106f	1816137839
 771	00000c0c	3084	00000213	 531
 772	00000c10	3088	0f0f1137	252645687
 773	00000c14	3092	f0f10113	4042326291
 774	00000c18	3096	00ff00b7	16711863
 775	00000c1c	3100	0ff08093	267419795
 776	00000c20	3104	00000013	  19
 777	00000c24	3108	00000013	  19
 778	00000c28	3112	0020ff33	2162483
 779	00000c2c	3116	00120213	1180179
 780	00000c30	3120	00200293	2097811
 781	00000c34	3124	fc521ee3	4233240291
 782	00000c38	3128	000f0eb7	986807
 783	00000c3c	3132	00fe8e93	16682643
 784	00000c40	3136	05100193	84935059
 785	00000c44	3140	01df0463	31392867
 786	00000c48	3144	6840106f	1749028975
 787	00000c4c	3148	00000213	 531
 788	00000c50	3152	0f0f1137	252645687
 789	00000c54	3156	f0f10113	4042326291
 790	00000c58	3160	00000013	  19
 791	00000c5c	3164	ff0100b7	4278255799
 792	00000c60	3168	f0008093	4026564755
 793	00000c64	3172	0020ff33	2162483
 794	00000c68	3176	00120213	1180179
 795	00000c6c	3180	00200293	2097811
 796	00000c70	3184	fe5210e3	4266791139
 797	00000c74	3188	0f001eb7	251666103
 798	00000c78	3192	f00e8e93	4027485843
 799	00000c7c	3196	05200193	85983635
 800	00000c80	3200	01df0463	31392867
 801	00000c84	3204	6480106f	1686114415
 802	00000c88	3208	00000213	 531
 803	00000c8c	3212	f0f0f137	4042322231
 804	00000c90	3216	0f010113	251724051
 805	00000c94	3220	00000013	  19
 806	00000c98	3224	0ff010b7	267391159
 807	00000c9c	3228	ff008093	4278222995
 808	00000ca0	3232	00000013	  19
 809	00000ca4	3236	0020ff33	2162483
 810	00000ca8	3240	00120213	1180179
 811	00000cac	3244	00200293	2097811
 812	00000cb0	3248	fc521ee3	4233240291
 813	00000cb4	3252	00f00eb7	15732407
 814	00000cb8	3256	0f0e8e93	252612243
 815	00000cbc	3260	05300193	87032211
 816	00000cc0	3264	01df0463	31392867
 817	00000cc4	3268	6080106f	1619005551
 818	00000cc8	3272	00000213	 531
 819	00000ccc	3276	0f0f1137	252645687
 820	00000cd0	3280	f0f10113	4042326291
 821	00000cd4	3284	00000013	  19
 822	00000cd8	3288	00000013	  19
 823	00000cdc	3292	00ff00b7	16711863
 824	00000ce0	3296	0ff08093	267419795
 825	00000ce4	3300	0020ff33	2162483
 826	00000ce8	3304	00120213	1180179
 827	00000cec	3308	00200293	2097811
 828	00000cf0	3312	fc521ee3	4233240291
 829	00000cf4	3316	000f0eb7	986807
 830	00000cf8	3320	00fe8e93	16682643
 831	00000cfc	3324	05400193	88080787
 832	00000d00	3328	01df0463	31392867
 833	00000d04	3332	5c80106f	1551896687
 834	00000d08	3336	ff0100b7	4278255799
 835	00000d0c	3340	f0008093	4026564755
 836	00000d10	3344	00107133	1077555
 837	00000d14	3348	00000e93	3731
 838	00000d18	3352	05500193	89129363
 839	00000d1c	3356	01d10463	30475363
 840	00000d20	3360	5ac0106f	1522536559
 841	00000d24	3364	00ff00b7	16711863
 842	00000d28	3368	0ff08093	267419795
 843	00000d2c	3372	0000f133	61747
 844	00000d30	3376	00000e93	3731
 845	00000d34	3380	05600193	90177939
 846	00000d38	3384	01d10463	30475363
 847	00000d3c	3388	5900106f	1493176431
 848	00000d40	3392	000070b3	28851
 849	00000d44	3396	00000e93	3731
 850	00000d48	3400	05700193	91226515
 851	00000d4c	3404	01d08463	30442595
 852	00000d50	3408	57c0106f	1472204911
 853	00000d54	3412	111110b7	286331063
 854	00000d58	3416	11108093	286294163
 855	00000d5c	3420	22222137	572662071
 856	00000d60	3424	22210113	572588307
 857	00000d64	3428	0020f033	2158643
 858	00000d68	3432	00000e93	3731
 859	00000d6c	3436	05800193	92275091
 860	00000d70	3440	01d00463	30409827
 861	00000d74	3444	5580106f	1434456175
 862	00000d78	3448	ff0100b7	4278255799
 863	00000d7c	3452	f0008093	4026564755
 864	00000d80	3456	f0f0ff13	4042325779
 865	00000d84	3460	ff010eb7	4278259383
 866	00000d88	3464	f00e8e93	4027485843
 867	00000d8c	3468	05900193	93323667
 868	00000d90	3472	01df0463	31392867
 869	00000d94	3476	5380106f	1400901743
 870	00000d98	3480	0ff010b7	267391159
 871	00000d9c	3484	ff008093	4278222995
 872	00000da0	3488	0f00ff13	251723539
 873	00000da4	3492	0f000e93	251661971
 874	00000da8	3496	05a00193	94372243
 875	00000dac	3500	01df0463	31392867
 876	00000db0	3504	51c0106f	1371541615
 877	00000db4	3508	00ff00b7	16711863
 878	00000db8	3512	0ff08093	267419795
 879	00000dbc	3516	70f0ff13	1894842131
 880	00000dc0	3520	00f00e93	15732371
 881	00000dc4	3524	05b00193	95420819
 882	00000dc8	3528	01df0463	31392867
 883	00000dcc	3532	5000106f	1342181487
 884	00000dd0	3536	f00ff0b7	4027576503
 885	00000dd4	3540	00f08093	15761555
 886	00000dd8	3544	0f00ff13	251723539
 887	00000ddc	3548	00000e93	3731
 888	00000de0	3552	05c00193	96469395
 889	00000de4	3556	01df0463	31392867
 890	00000de8	3560	4e40106f	1312821359
 891	00000dec	3564	ff0100b7	4278255799
 892	00000df0	3568	f0008093	4026564755
 893	00000df4	3572	0f00f093	251719827
 894	00000df8	3576	00000e93	3731
 895	00000dfc	3580	05d00193	97517971
 896	00000e00	3584	01d08463	30442595
 897	00000e04	3588	4c80106f	1283461231
 898	00000e08	3592	00000213	 531
 899	00000e0c	3596	0ff010b7	267391159
 900	00000e10	3600	ff008093	4278222995
 901	00000e14	3604	70f0ff13	1894842131
 902	00000e18	3608	000f0313	983827
 903	00000e1c	3612	00120213	1180179
 904	00000e20	3616	00200293	2097811
 905	00000e24	3620	fe5214e3	4266792163
 906	00000e28	3624	70000e93	1879051923
 907	00000e2c	3628	05e00193	98566547
 908	00000e30	3632	01d30463	30606435
 909	00000e34	3636	4980106f	1233129583
 910	00000e38	3640	00000213	 531
 911	00000e3c	3644	00ff00b7	16711863
 912	00000e40	3648	0ff08093	267419795
 913	00000e44	3652	0f00ff13	251723539
 914	00000e48	3656	00000013	  19
 915	00000e4c	3660	000f0313	983827
 916	00000e50	3664	00120213	1180179
 917	00000e54	3668	00200293	2097811
 918	00000e58	3672	fe5212e3	4266791651
 919	00000e5c	3676	0f000e93	251661971
 920	00000e60	3680	05f00193	99615123
 921	00000e64	3684	01d30463	30606435
 922	00000e68	3688	4640106f	1178603631
 923	00000e6c	3692	00000213	 531
 924	00000e70	3696	f00ff0b7	4027576503
 925	00000e74	3700	00f08093	15761555
 926	00000e78	3704	f0f0ff13	4042325779
 927	00000e7c	3708	00000013	  19
 928	00000e80	3712	00000013	  19
 929	00000e84	3716	000f0313	983827
 930	00000e88	3720	00120213	1180179
 931	00000e8c	3724	00200293	2097811
 932	00000e90	3728	fe5210e3	4266791139
 933	00000e94	3732	f00ffeb7	4027580087
 934	00000e98	3736	00fe8e93	16682643
 935	00000e9c	3740	06000193	100663699
 936	00000ea0	3744	01d30463	30606435
 937	00000ea4	3748	4280106f	1115689071
 938	00000ea8	3752	00000213	 531
 939	00000eac	3756	0ff010b7	267391159
 940	00000eb0	3760	ff008093	4278222995
 941	00000eb4	3764	70f0ff13	1894842131
 942	00000eb8	3768	00120213	1180179
 943	00000ebc	3772	00200293	2097811
 944	00000ec0	3776	fe5216e3	4266792675
 945	00000ec4	3780	70000e93	1879051923
 946	00000ec8	3784	06100193	101712275
 947	00000ecc	3788	01df0463	31392867
 948	00000ed0	3792	3fc0106f	1069551727
 949	00000ed4	3796	00000213	 531
 950	00000ed8	3800	00ff00b7	16711863
 951	00000edc	3804	0ff08093	267419795
 952	00000ee0	3808	00000013	  19
 953	00000ee4	3812	0f00ff13	251723539
 954	00000ee8	3816	00120213	1180179
 955	00000eec	3820	00200293	2097811
 956	00000ef0	3824	fe5214e3	4266792163
 957	00000ef4	3828	0f000e93	251661971
 958	00000ef8	3832	06200193	102760851
 959	00000efc	3836	01df0463	31392867
 960	00000f00	3840	3cc0106f	1019220079
 961	00000f04	3844	00000213	 531
 962	00000f08	3848	f00ff0b7	4027576503
 963	00000f0c	3852	00f08093	15761555
 964	00000f10	3856	00000013	  19
 965	00000f14	3860	00000013	  19
 966	00000f18	3864	70f0ff13	1894842131
 967	00000f1c	3868	00120213	1180179
 968	00000f20	3872	00200293	2097811
 969	00000f24	3876	fe5212e3	4266791651
 970	00000f28	3880	00f00e93	15732371
 971	00000f2c	3884	06300193	103809427
 972	00000f30	3888	01df0463	31392867
 973	00000f34	3892	3980106f	964694127
 974	00000f38	3896	0f007093	251687059
 975	00000f3c	3900	00000e93	3731
 976	00000f40	3904	06400193	104858003
 977	00000f44	3908	01d08463	30442595
 978	00000f48	3912	3840106f	943722607
 979	00000f4c	3916	00ff00b7	16711863
 980	00000f50	3920	0ff08093	267419795
 981	00000f54	3924	70f0f013	1894838291
 982	00000f58	3928	00000e93	3731
 983	00000f5c	3932	06500193	105906579
 984	00000f60	3936	01d00463	30409827
 985	00000f64	3940	3680106f	914362479
 986	00000f68	3944	00000013	  19
 987	00000f6c	3948	00002517	9495
 988	00000f70	3952	71c50513	1908737299
 989	00000f74	3956	004005ef	4195823
 990	00000f78	3960	40b50533	1085605171
 991	00000f7c	3964	00002eb7	11959
 992	00000f80	3968	710e8e93	1896779411
 993	00000f84	3972	06600193	106955155
 994	00000f88	3976	01d50463	30737507
 995	00000f8c	3980	3400106f	872419439
 996	00000f90	3984	00000013	  19
 997	00000f94	3988	ffffe517	4294960407
 998	00000f98	3992	8fc50513	2412053779
 999	00000f9c	3996	004005ef	4195823
1000	00000fa0	4000	40b50533	1085605171
1001	00000fa4	4004	ffffeeb7	4294962871
1002	00000fa8	4008	8f0e8e93	2400095891
1003	00000fac	4012	06700193	108003731
1004	00000fb0	4016	01d50463	30737507
1005	00000fb4	4020	3180106f	830476399
1006	00000fb8	4024	06800193	109052307
1007	00000fbc	4028	00000093	 147
1008	00000fc0	4032	00000113	 275
1009	00000fc4	4036	00208863	2132067
1010	00000fc8	4040	00300463	3146851
1011	00000fcc	4044	3000106f	805310575
1012	00000fd0	4048	00301863	3151971
1013	00000fd4	4052	fe208ee3	4263546595
1014	00000fd8	4056	00300463	3146851
1015	00000fdc	4060	2f00106f	788533359
1016	00000fe0	4064	06900193	110100883
1017	00000fe4	4068	00100093	1048723
1018	00000fe8	4072	00100113	1048851
1019	00000fec	4076	00208863	2132067
1020	00000ff0	4080	00300463	3146851
1021	00000ff4	4084	2d80106f	763367535
1022	00000ff8	4088	00301863	3151971
1023	00000ffc	4092	fe208ee3	4263546595
1024	00001000	4096	00300463	3146851
1025	00001004	4100	2c80106f	746590319
1026	00001008	4104	06a00193	111149459
1027	0000100c	4108	fff00093	4293918867
1028	00001010	4112	fff00113	4293918995
1029	00001014	4116	00208863	2132067
1030	00001018	4120	00300463	3146851
1031	0000101c	4124	2b00106f	721424495
1032	00001020	4128	00301863	3151971
1033	00001024	4132	fe208ee3	4263546595
1034	00001028	4136	00300463	3146851
1035	0000102c	4140	2a00106f	704647279
1036	00001030	4144	06b00193	112198035
1037	00001034	4148	00000093	 147
1038	00001038	4152	00100113	1048851
1039	0000103c	4156	00208463	2131043
1040	00001040	4160	00301663	3151459
1041	00001044	4164	00300463	3146851
1042	00001048	4168	2840106f	675287151
1043	0000104c	4172	fe208ce3	4263546083
1044	00001050	4176	06c00193	113246611
1045	00001054	4180	00100093	1048723
1046	00001058	4184	00000113	 275
1047	0000105c	4188	00208463	2131043
1048	00001060	4192	00301663	3151459
1049	00001064	4196	00300463	3146851
1050	00001068	4200	2640106f	641732719
1051	0000106c	4204	fe208ce3	4263546083
1052	00001070	4208	06d00193	114295187
1053	00001074	4212	fff00093	4293918867
1054	00001078	4216	00100113	1048851
1055	0000107c	4220	00208463	2131043
1056	00001080	4224	00301663	3151459
1057	00001084	4228	00300463	3146851
1058	00001088	4232	2440106f	608178287
1059	0000108c	4236	fe208ce3	4263546083
1060	00001090	4240	06e00193	115343763
1061	00001094	4244	00100093	1048723
1062	00001098	4248	fff00113	4293918995
1063	0000109c	4252	00208463	2131043
1064	000010a0	4256	00301663	3151459
1065	000010a4	4260	00300463	3146851
1066	000010a8	4264	2240106f	574623855
1067	000010ac	4268	fe208ce3	4263546083
1068	000010b0	4272	06f00193	116392339
1069	000010b4	4276	00000213	 531
1070	000010b8	4280	00000093	 147
1071	000010bc	4284	fff00113	4293918995
1072	000010c0	4288	00209463	2135139
1073	000010c4	4292	2080106f	545263727
1074	000010c8	4296	00120213	1180179
1075	000010cc	4300	00200293	2097811
1076	000010d0	4304	fe5214e3	4266792163
1077	000010d4	4308	07000193	117440915
1078	000010d8	4312	00000213	 531
1079	000010dc	4316	00000093	 147
1080	000010e0	4320	fff00113	4293918995
1081	000010e4	4324	00000013	  19
1082	000010e8	4328	00209463	2135139
1083	000010ec	4332	1e00106f	503320687
1084	000010f0	4336	00120213	1180179
1085	000010f4	4340	00200293	2097811
1086	000010f8	4344	fe5212e3	4266791651
1087	000010fc	4348	07100193	118489491
1088	00001100	4352	00000213	 531
1089	00001104	4356	00000093	 147
1090	00001108	4360	fff00113	4293918995
1091	0000110c	4364	00000013	  19
1092	00001110	4368	00000013	  19
1093	00001114	4372	00209463	2135139
1094	00001118	4376	1b40106f	457183343
1095	0000111c	4380	00120213	1180179
1096	00001120	4384	00200293	2097811
1097	00001124	4388	fe5210e3	4266791139
1098	00001128	4392	07200193	119538067
1099	0000112c	4396	00000213	 531
1100	00001130	4400	00000093	 147
1101	00001134	4404	00000013	  19
1102	00001138	4408	fff00113	4293918995
1103	0000113c	4412	00209463	2135139
1104	00001140	4416	18c0106f	415240303
1105	00001144	4420	00120213	1180179
1106	00001148	4424	00200293	2097811
1107	0000114c	4428	fe5212e3	4266791651
1108	00001150	4432	07300193	120586643
1109	00001154	4436	00000213	 531
1110	00001158	4440	00000093	 147
1111	0000115c	4444	00000013	  19
1112	00001160	4448	fff00113	4293918995
1113	00001164	4452	00000013	  19
1114	00001168	4456	00209463	2135139
1115	0000116c	4460	1600106f	369102959
1116	00001170	4464	00120213	1180179
1117	00001174	4468	00200293	2097811
1118	00001178	4472	fe5210e3	4266791139
1119	0000117c	4476	07400193	121635219
1120	00001180	4480	00000213	 531
1121	00001184	4484	00000093	 147
1122	00001188	4488	00000013	  19
1123	0000118c	4492	00000013	  19
1124	00001190	4496	fff00113	4293918995
1125	00001194	4500	00209463	2135139
1126	00001198	4504	1340106f	322965615
1127	0000119c	4508	00120213	1180179
1128	000011a0	4512	00200293	2097811
1129	000011a4	4516	fe5210e3	4266791139
1130	000011a8	4520	07500193	122683795
1131	000011ac	4524	00000213	 531
1132	000011b0	4528	00000093	 147
1133	000011b4	4532	fff00113	4293918995
1134	000011b8	4536	00209463	2135139
1135	000011bc	4540	1100106f	285216879
1136	000011c0	4544	00120213	1180179
1137	000011c4	4548	00200293	2097811
1138	000011c8	4552	fe5214e3	4266792163
1139	000011cc	4556	07600193	123732371
1140	000011d0	4560	00000213	 531
1141	000011d4	4564	00000093	 147
1142	000011d8	4568	fff00113	4293918995
1143	000011dc	4572	00000013	  19
1144	000011e0	4576	00209463	2135139
1145	000011e4	4580	0e80106f	243273839
1146	000011e8	4584	00120213	1180179
1147	000011ec	4588	00200293	2097811
1148	000011f0	4592	fe5212e3	4266791651
1149	000011f4	4596	07700193	124780947
1150	000011f8	4600	00000213	 531
1151	000011fc	4604	00000093	 147
1152	00001200	4608	fff00113	4293918995
1153	00001204	4612	00000013	  19
1154	00001208	4616	00000013	  19
1155	0000120c	4620	00209463	2135139
1156	00001210	4624	0bc0106f	197136495
1157	00001214	4628	00120213	1180179
1158	00001218	4632	00200293	2097811
1159	0000121c	4636	fe5210e3	4266791139
1160	00001220	4640	07800193	125829523
1161	00001224	4644	00000213	 531
1162	00001228	4648	00000093	 147
1163	0000122c	4652	00000013	  19
1164	00001230	4656	fff00113	4293918995
1165	00001234	4660	00209463	2135139
1166	00001238	4664	0940106f	155193455
1167	0000123c	4668	00120213	1180179
1168	00001240	4672	00200293	2097811
1169	00001244	4676	fe5212e3	4266791651
1170	00001248	4680	07900193	126878099
1171	0000124c	4684	00000213	 531
1172	00001250	4688	00000093	 147
1173	00001254	4692	00000013	  19
1174	00001258	4696	fff00113	4293918995
1175	0000125c	4700	00000013	  19
1176	00001260	4704	00209463	2135139
1177	00001264	4708	0680106f	109056111
1178	00001268	4712	00120213	1180179
1179	0000126c	4716	00200293	2097811
1180	00001270	4720	fe5210e3	4266791139
1181	00001274	4724	07a00193	127926675
1182	00001278	4728	00000213	 531
1183	0000127c	4732	00000093	 147
1184	00001280	4736	00000013	  19
1185	00001284	4740	00000013	  19
1186	00001288	4744	fff00113	4293918995
1187	0000128c	4748	00209463	2135139
1188	00001290	4752	03c0106f	62918767
1189	00001294	4756	00120213	1180179
1190	00001298	4760	00200293	2097811
1191	0000129c	4764	fe5210e3	4266791139
1192	000012a0	4768	00100093	1048723
1193	000012a4	4772	00000a63	2659
1194	000012a8	4776	00108093	1081491
1195	000012ac	4780	00108093	1081491
1196	000012b0	4784	00108093	1081491
1197	000012b4	4788	00108093	1081491
1198	000012b8	4792	00108093	1081491
1199	000012bc	4796	00108093	1081491
1200	000012c0	4800	00300e93	3149459
1201	000012c4	4804	07b00193	128975251
1202	000012c8	4808	01d08463	30442595
1203	000012cc	4812	0000106f	4207
1204	000012d0	4816	07c00193	130023827
1205	000012d4	4820	00000093	 147
1206	000012d8	4824	00000113	 275
1207	000012dc	4828	0020d663	2152035
1208	000012e0	4832	7e3016e3	2117080803
1209	000012e4	4836	00301663	3151459
1210	000012e8	4840	fe20dee3	4263567075
1211	000012ec	4844	7e3010e3	2117079267
1212	000012f0	4848	07d00193	131072403
1213	000012f4	4852	00100093	1048723
1214	000012f8	4856	00100113	1048851
1215	000012fc	4860	0020d663	2152035
1216	00001300	4864	7c3016e3	2083526371
1217	00001304	4868	00301663	3151459
1218	00001308	4872	fe20dee3	4263567075
1219	0000130c	4876	7c3010e3	2083524835
1220	00001310	4880	07e00193	132120979
1221	00001314	4884	fff00093	4293918867
1222	00001318	4888	fff00113	4293918995
1223	0000131c	4892	0020d663	2152035
1224	00001320	4896	7a3016e3	2049971939
1225	00001324	4900	00301663	3151459
1226	00001328	4904	fe20dee3	4263567075
1227	0000132c	4908	7a3010e3	2049970403
1228	00001330	4912	07f00193	133169555
1229	00001334	4916	00100093	1048723
1230	00001338	4920	00000113	 275
1231	0000133c	4924	0020d663	2152035
1232	00001340	4928	783016e3	2016417507
1233	00001344	4932	00301663	3151459
1234	00001348	4936	fe20dee3	4263567075
1235	0000134c	4940	783010e3	2016415971
1236	00001350	4944	08000193	134218131
1237	00001354	4948	00100093	1048723
1238	00001358	4952	fff00113	4293918995
1239	0000135c	4956	0020d663	2152035
1240	00001360	4960	763016e3	1982863075
1241	00001364	4964	00301663	3151459
1242	00001368	4968	fe20dee3	4263567075
1243	0000136c	4972	763010e3	1982861539
1244	00001370	4976	08100193	135266707
1245	00001374	4980	fff00093	4293918867
1246	00001378	4984	ffe00113	4292870419
1247	0000137c	4988	0020d663	2152035
1248	00001380	4992	743016e3	1949308643
1249	00001384	4996	00301663	3151459
1250	00001388	5000	fe20dee3	4263567075
1251	0000138c	5004	743010e3	1949307107
1252	00001390	5008	08200193	136315283
1253	00001394	5012	00000093	 147
1254	00001398	5016	00100113	1048851
1255	0000139c	5020	0020d463	2151523
1256	000013a0	5024	00301463	3150947
1257	000013a4	5028	723014e3	1915753699
1258	000013a8	5032	fe20dee3	4263567075
1259	000013ac	5036	08300193	137363859
1260	000013b0	5040	fff00093	4293918867
1261	000013b4	5044	00100113	1048851
1262	000013b8	5048	0020d463	2151523
1263	000013bc	5052	00301463	3150947
1264	000013c0	5056	703016e3	1882199779
1265	000013c4	5060	fe20dee3	4263567075
1266	000013c8	5064	08400193	138412435
1267	000013cc	5068	ffe00093	4292870291
1268	000013d0	5072	fff00113	4293918995
1269	000013d4	5076	0020d463	2151523
1270	000013d8	5080	00301463	3150947
1271	000013dc	5084	6e3018e3	1848645859
1272	000013e0	5088	fe20dee3	4263567075
1273	000013e4	5092	08500193	139461011
1274	000013e8	5096	ffe00093	4292870291
1275	000013ec	5100	00100113	1048851
1276	000013f0	5104	0020d463	2151523
1277	000013f4	5108	00301463	3150947
1278	000013f8	5112	6c301ae3	1815091939
1279	000013fc	5116	fe20dee3	4263567075
1280	00001400	5120	08600193	140509587
1281	00001404	5124	00000213	 531
1282	00001408	5128	fff00093	4293918867
1283	0000140c	5132	00000113	 275
1284	00001410	5136	6a20dee3	1780539107
1285	00001414	5140	00120213	1180179
1286	00001418	5144	00200293	2097811
1287	0000141c	5148	fe5216e3	4266792675
1288	00001420	5152	08700193	141558163
1289	00001424	5156	00000213	 531
1290	00001428	5160	fff00093	4293918867
1291	0000142c	5164	00000113	 275
1292	00001430	5168	00000013	  19
1293	00001434	5172	6820dce3	1746984163
1294	00001438	5176	00120213	1180179
1295	0000143c	5180	00200293	2097811
1296	00001440	5184	fe5214e3	4266792163
1297	00001444	5188	08800193	142606739
1298	00001448	5192	00000213	 531
1299	0000144c	5196	fff00093	4293918867
1300	00001450	5200	00000113	 275
1301	00001454	5204	00000013	  19
1302	00001458	5208	00000013	  19
1303	0000145c	5212	6620d8e3	1713428707
1304	00001460	5216	00120213	1180179
1305	00001464	5220	00200293	2097811
1306	00001468	5224	fe5212e3	4266791651
1307	0000146c	5228	08900193	143655315
1308	00001470	5232	00000213	 531
1309	00001474	5236	fff00093	4293918867
1310	00001478	5240	00000013	  19
1311	0000147c	5244	00000113	 275
1312	00001480	5248	6420d6e3	1679873763
1313	00001484	5252	00120213	1180179
1314	00001488	5256	00200293	2097811
1315	0000148c	5260	fe5214e3	4266792163
1316	00001490	5264	08a00193	144703891
1317	00001494	5268	00000213	 531
1318	00001498	5272	fff00093	4293918867
1319	0000149c	5276	00000013	  19
1320	000014a0	5280	00000113	 275
1321	000014a4	5284	00000013	  19
1322	000014a8	5288	6220d2e3	1646318307
1323	000014ac	5292	00120213	1180179
1324	000014b0	5296	00200293	2097811
1325	000014b4	5300	fe5212e3	4266791651
1326	000014b8	5304	08b00193	145752467
1327	000014bc	5308	00000213	 531
1328	000014c0	5312	fff00093	4293918867
1329	000014c4	5316	00000013	  19
1330	000014c8	5320	00000013	  19
1331	000014cc	5324	00000113	 275
1332	000014d0	5328	5e20dee3	1579212515
1333	000014d4	5332	00120213	1180179
1334	000014d8	5336	00200293	2097811
1335	000014dc	5340	fe5212e3	4266791651
1336	000014e0	5344	08c00193	146801043
1337	000014e4	5348	00000213	 531
1338	000014e8	5352	fff00093	4293918867
1339	000014ec	5356	00000113	 275
1340	000014f0	5360	5c20dee3	1545658083
1341	000014f4	5364	00120213	1180179
1342	000014f8	5368	00200293	2097811
1343	000014fc	5372	fe5216e3	4266792675
1344	00001500	5376	08d00193	147849619
1345	00001504	5380	00000213	 531
1346	00001508	5384	fff00093	4293918867
1347	0000150c	5388	00000113	 275
1348	00001510	5392	00000013	  19
1349	00001514	5396	5a20dce3	1512103139
1350	00001518	5400	00120213	1180179
1351	0000151c	5404	00200293	2097811
1352	00001520	5408	fe5214e3	4266792163
1353	00001524	5412	08e00193	148898195
1354	00001528	5416	00000213	 531
1355	0000152c	5420	fff00093	4293918867
1356	00001530	5424	00000113	 275
1357	00001534	5428	00000013	  19
1358	00001538	5432	00000013	  19
1359	0000153c	5436	5820d8e3	1478547683
1360	00001540	5440	00120213	1180179
1361	00001544	5444	00200293	2097811
1362	00001548	5448	fe5212e3	4266791651
1363	0000154c	5452	08f00193	149946771
1364	00001550	5456	00000213	 531
1365	00001554	5460	fff00093	4293918867
1366	00001558	5464	00000013	  19
1367	0000155c	5468	00000113	 275
1368	00001560	5472	5620d6e3	1444992739
1369	00001564	5476	00120213	1180179
1370	00001568	5480	00200293	2097811
1371	0000156c	5484	fe5214e3	4266792163
1372	00001570	5488	09000193	150995347
1373	00001574	5492	00000213	 531
1374	00001578	5496	fff00093	4293918867
1375	0000157c	5500	00000013	  19
1376	00001580	5504	00000113	 275
1377	00001584	5508	00000013	  19
1378	00001588	5512	5420d2e3	1411437283
1379	0000158c	5516	00120213	1180179
1380	00001590	5520	00200293	2097811
1381	00001594	5524	fe5212e3	4266791651
1382	00001598	5528	09100193	152043923
1383	0000159c	5532	00000213	 531
1384	000015a0	5536	fff00093	4293918867
1385	000015a4	5540	00000013	  19
1386	000015a8	5544	00000013	  19
1387	000015ac	5548	00000113	 275
1388	000015b0	5552	5020dee3	1344331491
1389	000015b4	5556	00120213	1180179
1390	000015b8	5560	00200293	2097811
1391	000015bc	5564	fe5212e3	4266791651
1392	000015c0	5568	00100093	1048723
1393	000015c4	5572	0000da63	55907
1394	000015c8	5576	00108093	1081491
1395	000015cc	5580	00108093	1081491
1396	000015d0	5584	00108093	1081491
1397	000015d4	5588	00108093	1081491
1398	000015d8	5592	00108093	1081491
